0	180	107	450	440	338	94	385	25	443	193	153	454	341	33	331	140	257	169	43	358	99	299	292	57	
1	238	100	405	379	11	322	253	186	34	189	102	93	106	290	268	203	110	117	444	432	84	109	72	339	
2	12	391	276	450	197	129	336	397	328	116	418	307	224	48	396	448	381	46	209	217	478	37	248	437	
3	304	385	214	430	113	177	263	152	314	320	316	370	61	326	124	91	396	191	36	423	410	273	82	69	
4	121	320	275	372	80	51	181	253	396	119	2	427	128	36	225	446	24	132	98	19	400	344	183	134	
5	420	87	101	149	264	185	155	71	217	147	99	460	308	67	407	359	197	270	437	169	162	168	277	192	
6	441	308	283	48	391	333	73	192	75	324	86	440	459	4	10	53	82	207	15	152	175	162	83	212	
7	291	46	148	383	27	93	326	298	436	260	283	115	35	184	417	477	243	194	364	189	336	469	278	277	
8	228	63	452	70	288	383	267	225	222	118	338	448	68	257	378	371	76	454	316	157	396	113	256	108	
9	336	408	437	48	182	243	321	307	92	435	293	318	21	118	373	455	277	205	395	45	200	35	316	291	
10	200	251	171	273	175	441	61	151	329	228	77	83	333	138	417	101	462	389	381	81	141	220	22	229	
11	402	173	201	348	251	458	109	66	403	33	327	217	6	320	284	443	340	409	108	225	165	34	189	195	
12	60	32	22	257	175	230	205	450	246	408	99	154	97	117	430	273	85	471	98	444	271	198	65	186	
13	349	122	161	292	164	413	53	143	408	213	354	475	259	36	40	120	127	15	451	46	392	184	195	95	
14	101	340	311	396	385	81	163	251	223	317	307	310	426	195	430	279	107	439	367	99	318	404	144	53	
15	103	3	40	125	1	447	279	360	343	23	287	257	311	83	86	440	323	411	473	322	234	468	34	354	
16	119	205	445	135	136	281	88	341	130	317	409	41	354	141	52	407	55	210	29	149	367	463	155	158	
17	239	68	30	336	422	466	243	407	292	160	405	430	40	29	230	386	215	359	62	250	340	203	418	148	
18	172	270	345	209	208	236	443	52	297	127	460	295	7	451	424	318	378	343	254	416	325	230	354	68	
19	176	135	318	184	29	449	393	71	221	83	442	252	196	436	286	290	378	374	169	303	115	272	425	320	
20	34	476	161	294	201	189	117	97	84	390	289	396	71	183	431	281	372	265	41	382	402	365	11	81	
21	170	111	29	48	52	353	224	420	418	149	262	423	27	42	7	67	299	460	208	285	120	341	31	402	
22	344	24	269	384	162	128	299	168	450	372	273	338	433	477	146	115	292	203	148	395	259	469	287	81	
23	125	160	403	275	282	386	479	184	241	8	143	457	348	20	38	79	11	332	222	273	14	298	435	270	
24	38	436	58	393	70	389	308	466	428	49	342	404	328	87	405	327	288	311	257	8	435	35	303	348	
25	439	252	126	218	429	398	394	270	365	61	341	164	355	210	338	278	179	271	13	401	432	194	361	172	
26	80	302	131	138	111	195	273	282	306	383	394	166	171	254	234	72	475	15	472	318	86	229	71	97	
27	389	271	474	210	81	43	459	374	383	246	269	324	439	358	176	348	426	124	262	219	179	84	228	364	
28	349	127	74	449	325	179	71	130	225	289	151	228	1	8	238	190	21	104	249	217	432	441	195	326	
29	107	285	117	340	333	275	322	233	173	34	306	105	389	445	190	74	459	331	207	103	2	313	172	379	
