0	39	45	9	48	5	8	47	10	46	56	
1	18	25	36	50	45	59	5	14	31	56	
2	57	9	28	42	39	15	8	27	30	3	
3	25	10	38	34	11	44	57	33	39	13	
4	54	28	37	36	14	15	8	58	10	11	
5	43	32	1	16	53	24	12	42	30	15	
6	44	10	43	21	22	28	16	4	7	27	
7	56	32	49	45	14	28	51	1	0	3	
8	45	7	36	48	30	3	50	40	59	13	
9	29	31	36	30	28	59	22	14	49	23	
10	18	41	58	23	37	8	49	14	54	56	
11	27	39	41	23	8	50	25	35	6	40	
12	26	46	51	33	29	38	55	37	25	44	
13	48	18	49	11	30	33	3	2	12	22	
14	36	45	1	8	28	18	0	35	46	17	
15	57	2	38	0	18	45	26	58	1	39	
16	44	14	31	30	38	7	36	54	25	34	
17	23	3	57	56	50	54	2	28	38	19	
18	57	54	12	32	15	30	25	50	34	9	
19	40	17	5	14	38	1	41	11	2	0	
20	35	9	21	0	48	44	12	32	14	8	
21	46	5	24	33	43	27	53	40	48	31	
22	11	13	50	3	27	40	51	52	23	36	
23	17	27	16	58	50	5	34	12	9	54	
24	9	52	53	21	31	12	46	27	25	19	
25	58	56	19	14	2	36	21	1	22	12	
26	59	3	19	36	33	1	25	50	57	18	
27	6	15	29	36	56	49	12	9	33	21	
28	50	47	13	10	20	49	31	2	45	3	
29	9	57	21	51	54	22	38	15	12	43	
30	21	13	50	33	46	15	52	7	47	51	
31	38	58	5	35	3	49	37	43	53	14	
32	59	11	33	16	51	5	28	10	40	27	
33	59	1	48	36	15	7	40	45	37	42	
34	30	47	29	37	14	58	27	33	32	49	
35	46	48	1	59	47	9	52	56	31	53	
36	58	52	43	25	28	32	35	49	42	0	
37	31	53	35	46	17	27	12	30	16	33	
38	37	32	30	28	10	0	56	41	17	26	
39	58	1	11	2	16	37	20	56	25	43	
40	30	46	54	15	11	48	22	23	51	9	
41	33	51	7	36	49	56	43	48	38	46	
42	37	40	27	19	32	8	22	55	45	11	
43	12	27	33	37	28	19	11	51	58	47	
44	45	8	18	49	35	51	10	13	31	14	
45	7	2	38	56	19	16	27	34	5	20	
46	18	33	50	45	53	58	3	14	20	13	
47	55	5	23	14	9	51	22	37	32	7	
48	7	34	15	58	2	14	43	50	44	8	
49	0	17	26	42	37	43	53	10	50	59	
50	27	20	56	44	46	34	32	14	26	36	
51	34	58	55	37	9	12	23	22	19	45	
52	6	33	35	43	14	2	23	17	10	7	
53	45	50	15	41	11	27	52	9	13	51	
54	32	23	4	18	30	16	57	40	3	1	
55	45	0	46	20	35	42	56	16	41	59	
56	55	16	29	53	38	23	5	52	11	42	
57	13	58	15	34	22	45	11	1	51	10	
58	32	44	27	25	10	51	0	23	42	41	
59	40	20	15	45	38	56	28	11	17	44	
