0	8	43	3	21	29	18	30	26	36	32	
1	22	26	7	8	15	49	16	4	21	51	
2	43	13	51	24	38	14	46	56	32	28	
3	0	34	12	35	1	38	32	45	9	8	
4	59	1	40	36	57	13	52	3	42	35	
5	15	34	38	35	24	6	55	40	20	33	
6	50	21	0	16	13	55	5	48	47	30	
7	11	29	1	19	47	12	25	30	43	52	
8	38	20	22	29	11	14	40	27	3	21	
9	47	16	3	6	37	34	42	59	19	30	
10	50	58	31	23	13	24	39	4	8	48	
11	43	10	46	4	52	21	38	26	33	14	
12	47	4	57	43	9	35	23	6	2	58	
13	49	6	23	20	51	5	2	50	19	1	
14	19	22	55	18	0	44	20	23	25	21	
15	34	44	47	36	35	53	37	51	14	10	
16	58	44	43	32	45	15	36	34	33	13	
17	36	35	42	50	59	19	25	53	7	32	
18	30	14	43	12	56	40	38	48	58	59	
19	45	55	39	15	0	54	42	9	14	51	
20	17	7	3	38	39	29	15	43	8	10	
21	18	0	34	26	13	24	19	7	46	12	
22	6	33	37	48	45	56	26	36	31	42	
23	48	38	37	14	22	5	55	21	29	46	
24	8	11	40	27	38	57	31	47	41	22	
25	42	47	44	14	15	41	22	36	18	48	
26	41	31	42	15	5	51	43	53	55	58	
27	22	18	1	45	13	46	4	43	3	7	
28	51	35	13	56	16	19	18	59	8	55	
29	2	38	18	37	11	4	0	33	26	6	
30	20	57	19	3	49	6	17	39	38	50	
31	43	10	11	46	21	18	5	38	12	37	
32	47	27	12	42	16	29	45	37	18	2	
33	25	29	20	52	30	2	35	49	42	41	
34	41	18	27	35	47	13	38	6	56	21	
35	48	46	4	19	56	23	25	27	11	6	
36	40	55	57	11	41	34	3	38	42	18	
37	57	40	41	42	34	55	51	48	47	53	
38	3	35	8	34	15	44	21	19	43	25	
39	29	18	3	44	9	24	6	13	0	8	
40	1	27	41	16	20	36	52	39	33	8	
41	37	42	20	6	59	1	45	2	38	0	
42	9	53	15	14	29	36	4	12	54	32	
43	7	9	52	38	42	2	21	8	54	22	
44	26	29	54	48	19	31	10	35	4	9	
45	43	25	2	53	57	21	51	46	33	59	
46	44	7	48	35	59	8	20	24	32	33	
47	1	38	33	24	7	48	10	50	11	30	
48	13	17	57	54	23	55	21	29	3	59	
49	3	33	40	32	46	28	15	4	10	0	
50	47	56	1	8	2	0	57	29	45	58	
51	28	5	47	46	0	58	59	48	14	45	
52	28	58	4	20	26	29	31	36	43	19	
53	36	7	49	23	50	9	8	56	51	26	
54	32	7	10	58	38	25	11	23	9	46	
55	4	2	27	47	16	10	59	51	3	54	
56	9	14	28	21	22	26	32	1	23	38	
57	34	51	4	21	31	37	11	40	12	33	
58	41	31	13	59	47	7	9	34	44	11	
59	55	44	21	7	54	58	25	29	9	50	
