0	8	92	15	89	118	18	51	30	26	62	77	61	
1	18	65	25	94	12	81	69	36	95	23	82	113	
2	14	65	34	80	67	119	16	10	81	106	91	38	
3	9	38	0	55	43	65	60	14	115	90	32	114	
4	107	62	87	43	56	34	117	20	79	7	9	78	
5	61	95	1	115	117	17	74	14	13	31	10	51	
6	119	36	74	20	30	7	31	53	34	28	43	76	
7	55	59	12	4	52	21	98	36	107	95	44	42	
8	2	64	21	4	96	43	89	71	14	48	119	36	
9	98	67	53	76	11	3	46	113	31	43	6	52	
10	83	25	76	95	107	117	94	61	7	78	63	73	
11	63	50	107	94	49	19	53	97	29	89	56	54	
12	41	32	64	35	86	46	15	80	5	9	89	23	
13	103	67	112	107	111	70	77	44	76	32	86	16	
14	90	87	31	104	53	13	11	92	70	36	107	41	
15	52	28	51	94	55	3	20	43	21	105	114	93	
16	44	100	87	14	105	4	89	6	0	64	38	83	
17	50	80	41	113	5	23	60	18	69	26	36	3	
18	61	24	53	39	34	87	98	89	2	82	49	70	
19	30	66	68	113	46	2	14	83	10	72	102	23	
20	17	23	48	49	13	72	106	90	103	62	38	82	
21	52	70	8	13	56	96	40	114	10	91	98	112	
22	16	49	36	65	61	30	63	20	80	79	74	5	
23	78	16	75	104	35	111	96	102	69	15	85	71	
24	25	111	110	33	59	29	95	63	48	61	11	14	
25	46	10	12	111	54	1	61	112	35	65	48	86	
26	60	65	47	48	71	1	91	4	113	110	13	55	
27	119	38	2	72	79	48	111	78	110	53	45	93	
28	29	78	80	106	42	115	9	84	33	5	56	38	
29	82	86	62	50	72	90	67	116	111	7	20	37	
30	75	94	106	39	24	114	11	28	62	37	118	0	
31	21	116	49	103	11	65	86	0	20	74	79	105	
32	87	111	116	74	14	83	53	15	11	9	35	84	
33	14	2	11	109	8	50	83	35	23	52	10	41	
34	41	4	44	20	27	0	7	70	15	14	26	88	
35	93	94	115	29	113	40	112	67	106	25	38	20	
36	75	116	5	105	59	32	81	98	24	102	49	61	
37	96	44	39	108	52	73	54	46	117	50	17	40	
38	109	35	63	101	74	8	106	13	66	15	105	32	
39	87	88	112	14	96	38	31	100	20	1	57	89	
40	17	15	63	82	0	76	62	107	11	56	55	26	
41	88	6	19	74	31	93	77	111	55	18	90	11	
42	106	22	0	72	62	15	41	26	56	24	74	89	
43	16	103	59	22	70	104	95	115	96	38	48	4	
44	29	58	91	82	116	38	47	61	26	110	41	2	
45	15	34	95	98	0	61	89	117	68	54	21	87	
46	90	36	102	34	25	79	44	87	69	114	19	62	
47	74	100	38	52	44	29	10	93	76	31	26	65	
48	60	78	101	25	98	45	29	2	4	23	86	7	
49	113	117	94	5	105	96	110	21	34	2	43	88	
50	14	107	31	22	21	91	41	67	115	39	49	104	
51	41	116	103	73	36	91	113	75	5	47	107	52	
52	59	50	46	115	70	18	68	10	53	1	11	80	
53	74	38	88	36	20	46	102	63	78	15	87	114	
54	22	78	65	8	33	55	109	85	21	77	108	47	
55	39	91	67	59	93	66	19	63	36	7	74	112	
56	103	66	44	55	80	54	119	98	32	69	10	3	
57	7	8	11	17	100	28	88	52	96	93	59	78	
58	2	12	117	90	59	78	61	62	116	107	18	101	
59	62	5	30	24	106	34	115	6	42	83	35	82	
60	79	6	82	108	117	89	22	2	92	64	91	111	
61	97	112	24	5	20	53	14	99	73	58	83	46	
62	38	72	119	100	6	74	79	113	98	35	36	23	
63	85	21	62	30	24	86	34	7	46	109	59	35	
64	22	53	19	116	66	14	57	56	37	15	73	59	
65	22	116	77	111	41	109	55	29	89	46	47	85	
66	37	56	88	59	113	72	30	83	87	78	3	45	
67	117	105	115	92	8	90	35	28	81	14	9	50	
68	23	63	64	1	46	85	115	18	81	21	91	111	
69	91	46	107	27	77	1	37	108	79	11	57	100	
70	86	13	43	85	55	19	52	68	20	31	74	28	
71	26	102	1	7	6	40	55	24	67	21	51	42	
72	68	75	56	88	74	70	39	47	16	27	89	5	
73	65	1	52	31	103	98	84	97	76	49	115	57	
74	73	14	69	17	54	45	101	8	64	93	80	117	
75	98	18	66	10	42	28	68	45	29	104	34	69	
76	78	112	53	9	55	28	95	38	108	59	119	117	
77	31	84	51	101	60	85	63	66	68	5	62	81	
78	75	77	32	88	73	106	34	87	79	89	82	53	
79	28	54	62	119	38	65	77	14	22	73	116	48	
80	48	45	105	81	108	116	114	85	4	104	112	61	
81	114	26	7	9	73	86	13	102	118	108	59	68	
82	70	115	19	43	61	91	119	22	51	44	13	96	
83	116	60	25	19	110	39	86	4	40	105	54	13	
84	89	87	3	32	60	78	52	5	116	20	12	10	
85	60	46	104	59	50	58	24	45	87	0	22	77	
86	2	87	102	85	31	82	93	76	0	48	91	10	
87	50	15	4	2	90	33	41	40	24	116	51	61	
88	41	95	112	20	72	89	30	109	90	18	71	102	
89	91	1	119	15	63	71	92	54	14	13	44	18	
90	38	21	84	15	110	37	7	41	35	11	63	55	
91	42	112	41	107	26	19	110	88	65	5	49	81	
92	26	63	97	109	69	112	114	13	79	99	73	108	
93	30	109	88	26	21	54	55	16	90	69	73	47	
94	25	62	104	7	0	35	101	28	118	32	67	3	
95	115	52	0	34	25	81	2	16	107	87	10	114	
96	17	119	31	64	116	11	30	56	75	90	48	22	
97	67	91	92	17	87	110	55	107	108	24	57	15	
98	95	72	108	114	113	26	86	119	38	40	19	71	
99	114	119	0	93	53	100	106	97	57	111	47	51	
100	25	102	98	43	36	45	69	70	42	29	49	110	
101	10	42	23	13	26	113	46	118	67	114	58	116	
102	79	18	38	14	100	4	46	116	67	37	65	117	
103	86	11	73	41	71	37	99	28	3	91	29	36	
104	97	110	113	108	71	105	11	33	17	26	5	44	
105	24	39	41	18	102	59	43	103	13	19	28	95	
106	100	118	113	9	26	10	112	75	105	80	103	41	
