0	37	26	29	47	25	13	18	53	2	33	
1	48	30	22	20	9	49	41	12	33	27	
2	17	32	52	58	27	35	18	10	7	55	
3	41	31	8	22	5	25	19	4	14	18	
4	1	57	47	30	2	15	50	39	36	14	
5	1	22	28	35	47	26	20	53	18	9	
6	44	29	31	19	57	12	15	26	51	48	
7	14	6	10	23	18	37	39	50	32	3	
8	58	5	28	20	33	38	48	19	34	44	
9	1	13	50	14	55	11	15	12	3	0	
10	15	13	21	34	45	6	20	33	26	54	
11	45	15	22	14	35	21	46	5	58	30	
12	5	13	31	25	0	37	29	53	1	49	
13	12	7	29	16	43	50	19	22	3	41	
14	20	59	30	43	36	19	24	52	55	49	
15	59	29	10	39	8	0	51	47	23	35	
16	52	39	28	3	19	57	7	8	30	5	
17	49	53	34	3	47	29	25	58	16	30	
18	16	8	57	23	1	51	0	40	49	50	
19	8	58	38	20	23	36	53	42	59	7	
20	13	6	30	1	47	15	46	31	45	33	
21	14	32	8	0	4	50	15	41	25	37	
22	0	2	10	56	52	40	29	55	9	17	
23	44	46	27	58	36	0	43	18	25	34	
24	13	54	27	15	32	40	33	23	52	22	
25	5	13	27	37	50	33	7	6	42	18	
26	34	23	44	15	17	3	41	1	31	50	
27	29	53	35	57	9	20	58	23	36	10	
28	18	24	52	8	5	50	9	40	37	13	
29	46	50	11	19	0	39	25	54	23	16	
30	5	14	55	2	49	6	43	18	23	10	
31	29	36	18	28	37	57	49	47	1	5	
32	15	27	44	57	7	1	26	25	55	43	
33	39	57	29	27	6	55	45	50	7	11	
34	23	10	54	11	39	18	0	17	31	37	
35	18	4	42	29	30	27	25	38	12	56	
36	46	58	30	40	22	53	21	18	24	51	
37	12	42	48	59	25	58	30	49	11	4	
38	59	39	27	36	8	22	55	13	11	43	
39	38	33	2	27	41	22	59	13	53	0	
40	57	35	15	41	30	24	28	48	58	44	
41	19	33	28	48	13	58	17	50	18	42	
42	5	48	19	15	44	22	12	8	9	1	
43	29	13	28	42	2	30	56	0	17	21	
44	18	6	32	41	16	24	15	30	55	33	
45	56	47	29	1	42	54	35	34	57	37	
46	54	42	20	10	32	58	2	4	13	36	
47	26	7	55	21	37	20	5	27	39	57	
48	33	22	12	35	17	20	1	23	59	54	
49	15	35	50	24	51	55	19	48	54	36	
50	6	43	10	29	56	11	21	54	27	36	
51	38	23	31	43	10	41	28	40	37	42	
52	49	28	14	58	45	47	11	41	29	3	
53	6	55	49	39	7	17	16	59	9	35	
54	12	0	3	1	53	26	56	7	45	29	
55	1	54	56	31	36	7	52	12	25	9	
56	49	18	40	45	24	37	25	55	12	4	
57	18	30	19	32	6	1	7	28	2	38	
58	25	30	42	39	38	14	15	24	0	52	
59	56	39	45	5	18	41	13	3	1	0	
